activity,activityID,userID,"rating (hi = 50, low = 10)",,,unique users,# of ratings per user,,
"""The Exorcist"" Steps",g28970-d8830705,BuddhistNYC,50,,,travellingman1352,15,,
"""The Exorcist"" Steps",g28970-d8830705,bryans752,30,,,TERRAvelista,13,,
"""The Exorcist"" Steps",g28970-d8830705,BrandyM726,40,,,Taowalker221b,15,,
"""The Exorcist"" Steps",g28970-d8830705,BrandonK850,40,,,SteveG422,15,,
"""The Exorcist"" Steps",g28970-d8830705,Batmancop,30,,,psudino,15,,
"""The Exorcist"" Steps",g28970-d8830705,avaserr93,50,,,petermU8311JJ,15,,
"""The Exorcist"" Steps",g28970-d8830705,Anect,50,,,null,14,,
"""The Exorcist"" Steps",g28970-d8830705,amyh1313,40,,,interceptpubs,15,,
"""The Exorcist"" Steps",g28970-d8830705,aiDalaiLama,50,,,Holiday-Lady25,15,,
"""The Exorcist"" Steps",g28970-d8830705,948lisag,50,,,EFW2014,15,,
"""The Exorcist"" Steps",g28970-d8830705,833kathleenw,50,,,edc338,12,,
"""The Exorcist"" Steps",g28970-d8830705,549stephanies549,40,,,349Charles25,15,,
"""The Exorcist"" Steps",g28970-d8830705,536christiee,50,,,TroisChatsLies,14,,
"""The Exorcist"" Steps",g28970-d8830705,339josephm,30,,,rduinc,14,,
14th Street Bridges,g28970-d12547147,MelB776,40,,,parksvisitor,14,,
14th Street Bridges,g28970-d12547147,lpMaggi713,40,,,NYCBabeRomford,13,,
14th Street Bridges,g28970-d12547147,Chinapjs,40,,,Melaney68,13,,
1812 Museum,g28970-d9714942,n_atiggue,50,,,LSUTraveller,13,,
3 Stars Brewing Company,g28970-d12289904,tshep42,40,,,jehenson81,11,,
3 Stars Brewing Company,g28970-d12289904,RussellJW,40,,,IVistedThisPlace,13,,
3 Stars Brewing Company,g28970-d12289904,PrawetJ,40,,,ITRT,14,,
3 Stars Brewing Company,g28970-d12289904,KimberH0422,10,,,esopus35,14,,
3 Stars Brewing Company,g28970-d12289904,JoeR808,50,,,chrisV9772TA,13,,
3 Stars Brewing Company,g28970-d12289904,747stephena,50,,,BorisDivjak,14,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,WSPLou,50,,,31HomeGames,14,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,Wiganer78,40,,,unclelouie,13,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,urbanguy,50,,,SeatOfMyPntsTravelr,13,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,Turtleliving,50,,,MatthewASharp,13,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,TrailTrekker15,40,,,Mark42139,13,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,ThatsAGiven,40,,,LFMME,13,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,Sonofbaldo,40,,,Kittygal,13,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,SCDad,50,,,KCS1958,11,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,sargentmom,40,,,J-from-Marysville,13,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,SandyF916,30,,,inHim555,13,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,Rockiroads,30,,,GroverR,13,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,RM215079,50,,,digitalroc,13,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,Ray-Harrison,50,,,deebug2470,13,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,QuickWhitTravel,40,,,Coellum,13,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,PutVK,50,,,199ruthg,10,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,PrawetJ,30,,,royalvagabond,12,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,Mfclingan,50,,,phutty,12,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,maxrebos,50,,,nursely,12,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,LSUTraveller,40,,,mhI157ME,12,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,LostALot22,50,,,Kauai-Biz-Traveler,12,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,LoisC681,40,,,GRWLR51,12,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,lisafK6750HA,50,,,foxsmjr,12,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,ladyme1,30,,,darwinsail,11,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,L4769LVnancyr,20,,,brianb566,12,,
